gun,ay,tavg,yagis_turu
10,6,24.1,0
11,6,24.0,0
12,6,25.1,0
13,6,27.5,0
14,6,27.2,0
15,6,24.0,0
16,6,26.6,0
17,6,26.9,0
18,6,26.5,0
19,6,26.1,0
20,6,26.6,0
21,6,26.2,0
22,6,26.5,0
23,6,28.2,0
24,6,29.0,0
25,6,26.7,0
26,6,26.3,0
27,6,27.9,0
28,6,26.7,0
29,6,23.7,0
30,6,23.7,0
1,7,25.8,0
2,7,27.8,0
3,7,28.9,0
4,7,29.0,0
5,7,26.4,0
6,7,27.3,0
7,7,27.6,0
8,7,28.2,0
9,7,26.8,0
10,7,22.9,0
11,7,21.9,0
12,7,22.4,0
13,7,22.7,0
14,7,19.5,0
15,7,21.6,0
16,7,23.0,0
17,7,24.2,0
18,7,25.0,0
19,7,25.4,0
20,7,25.9,0
21,7,26.5,0
22,7,27.6,0
23,7,25.2,0
24,7,23.8,0
25,7,25.7,0
26,7,26.3,0
27,7,26.8,0
28,7,26.6,0
29,7,26.7,0
30,7,26.7,0
31,7,28.4,0
1,8,28.5,0
2,8,28.5,0
3,8,26.7,0
4,8,25.5,0
5,8,24.5,0
6,8,24.9,0
7,8,25.7,0
8,8,26.9,0
9,8,28.1,0
10,8,29.6,0
11,8,28.0,0
12,8,27.4,0
13,8,27.5,0
14,8,26.8,0
15,8,27.9,0
16,8,25.6,0
17,8,23.0,0
18,8,23.7,0
19,8,24.3,0
20,8,24.3,0
21,8,25.8,0
22,8,28.9,0
23,8,28.6,0
24,8,28.7,0
25,8,29.0,0
26,8,28.6,0
27,8,27.3,0
28,8,26.4,0
29,8,25.3,0
30,8,24.8,0
31,8,23.9,0
1,9,24.6,0
2,9,25.6,0
3,9,25.1,0
4,9,25.5,0
5,9,24.5,0
6,9,23.8,0
7,9,22.8,0
8,9,23.0,0
9,9,23.0,0
10,9,22.9,0
11,9,23.1,0
12,9,22.2,0
13,9,23.3,0
14,9,23.4,0
15,9,23.2,0
16,9,21.0,0
17,9,23.1,0
18,9,24.3,0
19,9,22.5,0
20,9,16.5,0
21,9,15.8,0
22,9,15.6,0
23,9,17.5,0
24,9,19.8,0
25,9,19.8,0
26,9,20.5,0
27,9,21.1,0
28,9,19.5,0
29,9,21.2,0
30,9,23.1,0
1,10,23.1,0
2,10,22.4,0
3,10,22.6,0
4,10,20.6,0
5,10,16.5,0
6,10,16.4,0
7,10,14.9,0
8,10,13.1,0
9,10,15.3,0
10,10,16.1,0
11,10,19.5,0
12,10,17.3,0
13,10,16.8,0
14,10,16.8,0
15,10,15.6,0
16,10,14.8,0
17,10,15.7,0
18,10,16.5,0
19,10,17.0,0
20,10,16.7,0
21,10,16.6,0
22,10,17.4,0
23,10,17.3,0
24,10,15.6,0
25,10,15.7,0
26,10,15.4,0
27,10,14.6,0
28,10,13.5,0
29,10,13.6,0
30,10,14.1,0
31,10,11.2,0
1,11,8.6,0
2,11,11.0,0
3,11,11.6,0
4,11,17.6,0
5,11,19.2,0
6,11,19.0,0
7,11,20.0,0
8,11,18.8,0
9,11,18.0,0
10,11,17.8,0
11,11,16.4,0
12,11,16.3,0
13,11,15.1,0
14,11,15.2,0
15,11,15.6,0
16,11,12.9,0
17,11,13.5,0
18,11,13.8,0
19,11,13.8,0
20,11,13.7,0
21,11,13.9,0
22,11,12.3,0
23,11,8.5,0
24,11,10.9,0
25,11,11.7,0
26,11,10.9,0
27,11,9.1,0
28,11,11.0,0
29,11,14.0,0
30,11,10.1,0
1,12,5.9,0
2,12,4.0,0
3,12,5.2,0
4,12,2.6,0
5,12,2.2,0
6,12,2.8,0
7,12,1.8,0
8,12,7.3,0
9,12,7.5,0
10,12,5.9,0
11,12,8.5,0
12,12,9.3,0
13,12,10.5,0
14,12,12.2,0
15,12,11.2,0
16,12,6.3,0
17,12,6.8,0
18,12,6.8,0
19,12,6.7,0
20,12,7.9,0
21,12,11.0,0
22,12,16.7,0
23,12,14.2,0
24,12,8.7,0
25,12,8.0,0
26,12,6.8,0
27,12,5.2,0
28,12,3.7,0
29,12,1.9,0
30,12,1.9,0
31,12,2.2,0
1,1,3.7,0
2,1,2.4,0
3,1,1.6,0
4,1,3.7,0
5,1,3.8,0
6,1,3.5,0
7,1,1.8,0
8,1,0.2,0
9,1,0.1,0
10,1,1.7,0
11,1,3.7,0
12,1,7.2,0
13,1,3.1,0
14,1,0.3,0
15,1,1.2,0
16,1,2.8,0
17,1,4.0,0
18,1,3.8,0
19,1,4.0,0
20,1,3.1,0
21,1,0.4,0
22,1,1.1,0
23,1,3.1,0
24,1,1.4,0
25,1,3.8,0
26,1,5.4,0
27,1,11.6,1
28,1,11.0,1
29,1,10.3,1
30,1,7.0,0
31,1,5.4,0
1,2,10.6,0
2,2,10.6,0
3,2,11.5,0
4,2,13.1,0
5,2,7.1,0
6,2,1.2,0
